Date,Value,Type
5/4/23,50,O3
5/5/23,21,O3
5/6/23,37,O3
5/7/23,39,O3
5/8/23,37,O3
5/9/23,34,O3
5/10/23,47,O3
5/11/23,38,O3
5/12/23,29,O3
5/13/23,49,O3
5/14/23,44,O3
5/15/23,35,O3
5/16/23,39,O3
5/17/23,31,O3
5/18/23,37,O3
5/19/23,37,O3
5/20/23,30,O3
5/21/23,30,O3
5/22/23,28,O3
5/23/23,36,O3
5/24/23,49,O3
5/25/23,51,O3
5/26/23,54,O3
5/27/23,48,O3
5/28/23,48,O3
5/29/23,37,O3
5/30/23,35,O3
5/31/23,33,O3
6/1/23,40,O3
6/2/23,44,O3
6/3/23,71,O3
6/4/23,37,O3
6/5/23,61,O3
6/6/23,54,O3
6/7/23,100,O3
6/8/23,80,O3
6/9/23,101,O3
6/10/23,119,O3
6/11/23,40,O3
6/12/23,42,O3
6/13/23,49,O3
6/14/23,23,O3
6/15/23,38,O3
6/16/23,50,O3
6/17/23,97,O3
6/18/23,54,O3
6/19/23,23,O3
6/20/23,40,O3
6/21/23,22,O3
6/22/23,28,O3
6/23/23,39,O3
6/24/23,71,O3
6/25/23,58,O3
6/26/23,39,O3
6/27/23,54,O3
6/28/23,84,O3
6/29/23,133,O3
6/30/23,36,O3
7/1/23,32,O3
7/2/23,41,O3
7/3/23,39,O3
7/4/23,41,O3
7/5/23,38,O3
7/6/23,46,O3
7/7/23,44,O3
7/8/23,41,O3
7/9/23,38,O3
7/10/23,35,O3
7/11/23,46,O3
7/12/23,48,O3
7/13/23,33,O3
7/14/23,45,O3
7/15/23,33,O3
7/16/23,46,O3
7/17/23,84,O3
7/18/23,93,O3
7/19/23,50,O3
7/20/23,42,O3
7/21/23,37,O3
7/22/23,37,O3
7/23/23,46,O3
7/24/23,74,O3
7/25/23,87,O3
7/26/23,93,O3
7/27/23,93,O3
7/28/23,54,O3
7/29/23,48,O3
7/30/23,44,O3
7/31/23,54,O3
2/1/23,3,CO
2/2/23,3,CO
2/3/23,2,CO
2/4/23,2,CO
2/5/23,5,CO
2/6/23,7,CO
2/7/23,10,CO
2/8/23,9,CO
2/9/23,3,CO
2/10/23,2,CO
2/11/23,2,CO
2/12/23,2,CO
2/13/23,5,CO
2/14/23,9,CO
2/15/23,5,CO
2/16/23,5,CO
2/17/23,2,CO
2/18/23,3,CO
2/19/23,5,CO
2/20/23,9,CO
2/21/23,3,CO
2/22/23,7,CO
2/23/23,2,CO
2/24/23,3,CO
2/25/23,3,CO
2/26/23,3,CO
2/27/23,7,CO
2/28/23,6,CO
3/1/23,11,CO
3/2/23,3,CO
3/3/23,2,CO
3/4/23,3,CO
3/5/23,5,CO
3/6/23,10,CO
3/7/23,10,CO
3/8/23,3,CO
3/9/23,7,CO
3/10/23,3,CO
3/11/23,5,CO
3/12/23,5,CO
3/13/23,3,CO
3/14/23,2,CO
3/15/23,6,CO
3/16/23,10,CO
3/17/23,3,CO
3/18/23,2,CO
3/19/23,2,CO
3/20/23,5,CO
3/21/23,9,CO
3/22/23,7,CO
3/23/23,3,CO
3/24/23,6,CO
3/25/23,5,CO
3/26/23,8,CO
3/27/23,3,CO
3/28/23,6,CO
3/29/23,5,CO
3/30/23,10,CO
3/31/23,5,CO
4/1/23,2,CO
4/2/23,6,CO
4/3/23,10,CO
4/4/23,2,CO
4/5/23,3,CO
4/6/23,6,CO
4/7/23,7,CO
4/8/23,2,CO
4/9/23,2,CO
4/10/23,3,CO
4/11/23,8,CO
4/12/23,9,CO
4/13/23,6,CO
4/14/23,3,CO
4/15/23,7,CO
4/16/23,3,CO
4/17/23,3,CO
4/18/23,6,CO
4/19/23,8,CO
4/20/23,8,CO
4/21/23,6,CO
4/22/23,3,CO
4/23/23,6,CO
4/24/23,2,CO
4/25/23,5,CO
4/26/23,3,CO
4/27/23,2,CO
4/28/23,3,CO
4/29/23,6,CO
4/30/23,3,CO
5/1/23,2,CO
5/2/23,2,CO
5/3/23,2,CO
5/4/23,6,CO
5/5/23,7,CO
5/6/23,3,CO
5/7/23,3,CO
5/8/23,3,CO
5/9/23,3,CO
5/10/23,5,CO
5/11/23,2,CO
5/12/23,2,CO
5/13/23,5,CO
5/14/23,7,CO
5/15/23,7,CO
5/16/23,2,CO
5/17/23,3,CO
5/18/23,5,CO
5/19/23,2,CO
5/20/23,2,CO
5/21/23,3,CO
5/22/23,3,CO
5/23/23,5,CO
5/24/23,3,CO
5/25/23,6,CO
5/26/23,2,CO
5/27/23,2,CO
5/28/23,2,CO
5/29/23,3,CO
5/30/23,5,CO
5/31/23,3,CO
6/1/23,3,CO
6/2/23,6,CO
6/3/23,7,CO
6/4/23,6,CO
6/5/23,3,CO
6/6/23,6,CO
6/7/23,6,CO
6/8/23,6,CO
6/9/23,5,CO
6/10/23,9,CO
6/11/23,3,CO
6/12/23,3,CO
6/13/23,5,CO
6/14/23,2,CO
6/15/23,2,CO
6/16/23,3,CO
6/17/23,5,CO
6/18/23,9,CO
6/19/23,2,CO
6/20/23,3,CO
6/21/23,3,CO
6/22/23,3,CO
6/23/23,3,CO
6/24/23,6,CO
6/25/23,8,CO
6/26/23,2,CO
6/27/23,3,CO
6/28/23,7,CO
6/29/23,8,CO
6/30/23,9,CO
7/1/23,6,CO
7/2/23,3,CO
7/3/23,3,CO
7/4/23,5,CO
7/5/23,7,CO
7/6/23,5,CO
7/7/23,5,CO
7/8/23,6,CO
7/9/23,2,CO
7/10/23,3,CO
7/11/23,6,CO
7/12/23,7,CO
7/13/23,3,CO
7/14/23,2,CO
7/15/23,3,CO
7/16/23,3,CO
7/17/23,6,CO
7/18/23,9,CO
7/19/23,3,CO
7/20/23,7,CO
7/21/23,2,CO
7/22/23,3,CO
7/23/23,5,CO
7/24/23,5,CO
7/25/23,7,CO
7/26/23,7,CO
7/27/23,6,CO
7/28/23,5,CO
7/29/23,5,CO
7/30/23,5,CO
7/31/23,3,CO
2/1/23,7,PM10
2/2/23,6,PM10
2/3/23,9,PM10
2/4/23,10,PM10
2/5/23,11,PM10
2/6/23,13,PM10
2/7/23,19,PM10
2/8/23,26,PM10
2/9/23,17,PM10
2/10/23,8,PM10
2/11/23,7,PM10
2/12/23,4,PM10
2/13/23,8,PM10
2/14/23,13,PM10
2/15/23,19,PM10
2/16/23,21,PM10
2/17/23,7,PM10
2/18/23,7,PM10
2/19/23,12,PM10
2/20/23,18,PM10
2/21/23,16,PM10
2/22/23,18,PM10
2/23/23,19,PM10
2/24/23,19,PM10
2/25/23,15,PM10
2/26/23,13,PM10
2/27/23,18,PM10
2/28/23,51,PM10
3/1/23,39,PM10
3/2/23,12,PM10
3/3/23,20,PM10
3/4/23,7,PM10
3/5/23,9,PM10
3/6/23,29,PM10
3/7/23,33,PM10
3/8/23,19,PM10
3/9/23,28,PM10
3/10/23,18,PM10
3/11/23,8,PM10
3/12/23,14,PM10
3/13/23,7,PM10
3/14/23,8,PM10
3/15/23,19,PM10
3/16/23,27,PM10
3/17/23,21,PM10
3/18/23,7,PM10
3/19/23,7,PM10
3/20/23,11,PM10
3/21/23,19,PM10
3/22/23,27,PM10
3/23/23,26,PM10
3/24/23,25,PM10
3/25/23,19,PM10
3/26/23,15,PM10
3/27/23,15,PM10
3/28/23,21,PM10
3/29/23,13,PM10
3/30/23,19,PM10
3/31/23,19,PM10
4/1/23,32,PM10
